canonical_dag_hash,action_label,gps_adapter_pca_x,gps_adapter_pca_y,gps_adapter_tsne_x,gps_adapter_tsne_y,v3_graph_pca_x,v3_graph_pca_y,v3_graph_tsne_x,v3_graph_tsne_y,sbert_document_pca_x,sbert_document_pca_y,sbert_document_tsne_x,sbert_document_tsne_y
eba43cb9f85079ae,edit,0.060738035,0.30149195,11.646268,16.08676,0.0036469856,-0.80490744,-2.1182315,-15.854793,-0.07756868,0.20907813,17.741116,-12.062497
7ef6cc38fbc651ea,edit,0.14838949,0.3631307,11.130082,15.986291,0.19835564,-0.73850983,-1.1877822,-15.763082,-0.18710214,0.23489304,18.481749,-12.297624
932979a8dd68aa97,edit,0.22986391,0.39247838,11.039175,15.375363,0.29786745,-0.6577687,-0.22708853,-15.578128,-0.205261,0.21550128,18.619719,-11.709834
4acb515e09550f19,edit,0.24492286,0.35966098,11.142657,15.0549555,0.25502494,-0.6528558,-0.18673867,-15.236318,-0.20816071,0.22189271,18.775963,-11.653107
96352f111fc1cb76,edit,0.11457007,0.33033213,11.56671,16.46721,0.09762773,-0.7290062,-1.6254785,-15.342747,-0.17759183,0.16017956,17.955412,-11.53588
79e23fc8e30ba971,read,-0.2206247,-0.1889833,10.677533,-15.537776,0.054052293,-0.13374017,4.0152144,12.241658,0.07167865,0.18647893,7.547826,4.591866
23b0a6c204f51cc5,read,-0.29319307,-0.22563002,10.304295,-16.175053,-0.028157115,-0.22004828,4.5785127,13.238425,0.032945372,0.21403874,7.3379636,4.080586
51a8f3c2692e87ec,read,-0.11153278,-0.2157513,10.263708,-15.083774,0.082989044,0.0794322,4.436229,11.447334,-0.020053813,0.24170347,7.978579,4.2285137
0ffba8f414cf7f5a,read,-0.20025039,-0.09283864,9.678186,-15.754318,0.06087687,0.018616017,2.709182,12.957988,-0.0727171,0.08222213,8.1721525,5.0129023
d8a626d44f1e2cc0,read,-0.24633661,-0.021862559,9.409471,-16.110373,-0.040768117,-0.12064592,2.3339577,13.242359,-0.0410405,0.12731665,8.424537,4.82583
5ec432b5ea9d8618,read,-0.19404317,-0.22041373,10.8553705,-15.886072,0.19993241,-0.1617306,4.5310903,12.312716,0.017654832,0.17381352,7.383841,4.532971
